ticker,name,open,high,low,close,prev_close,volume
0050,元大台灣50,62.4,62.75,62.35,62.5,61.9,81027467
0051,元大中型100,89.5,89.6,89.15,89.55,88.39999999999999,35070
0052,富邦科技,35.76,35.86,35.61,35.64,35.31,24363230
0053,元大電子,134.45,134.5,133.75,133.75,132.2,10149
0055,元大MSCI金融,32.0,32.27,31.8,32.24,31.87,508127
0056,元大高股息,36.15,36.42,36.12,36.38,36.11,20244445
0057,富邦摩台,183.1,183.45,182.7,182.75,180.9,48135
0061,元大寶滬深,22.76,22.88,22.74,22.82,22.740000000000002,291275
006203,元大MSCI台灣,114.0,114.0,113.6,113.6,112.14999999999999,3127
006204,永豐臺灣加權,141.35,141.35,140.95,140.95,139.29999999999998,13363
006205,富邦上証,38.73,38.99,38.63,38.89,38.730000000000004,249670
006206,元大上證50,36.47,36.77,36.45,36.71,36.47,573542
006207,復華滬深,30.18,30.35,30.18,30.23,30.18,199943
006208,富邦台50,143.0,143.7,142.8,143.05,141.65,5112359
00631L,元大台灣50正2,334.0,338.0,334.0,336.4,328.9,3869815
00632R,元大台灣50反1,17.16,17.17,17.06,17.1,17.290000000000003,39183364
00633L,富邦上証正2,49.09,49.69,48.8,49.23,48.9,7389366
00634R,富邦上証反1,3.25,3.26,3.23,3.26,3.26,174100
00635U,期元大S&P黃金,46.46,46.51,46.31,46.42,46.61,2664917
00636,國泰中國A50,26.66,26.82,26.62,26.68,26.62,743292
00636K,國泰中國A50+U,8.53,8.53,8.53,8.53,8.479999999999999,200
00637L,元大滬深300正2,20.18,20.44,20.07,20.25,20.12,44385264
00638R,元大滬深300反1,6.93,6.93,6.89,6.92,6.9399999999999995,150160
00639,富邦深100,14.97,15.1,14.96,15.04,15.01,1228293
00640L,富邦日本正2,76.1,77.0,75.95,76.7,75.25,103990
00641R,富邦日本反1,4.64,4.65,4.61,4.64,4.67,1986796
00642U,期元大S&P石油,14.71,14.73,14.67,14.71,14.8,7061725
00643,群益深証中小,16.38,16.53,16.36,16.45,16.439999999999998,3597838
00645,富邦日本,47.26,47.52,47.2,47.38,46.99,572486
00646,元大S&P500,66.95,67.2,66.95,67.1,66.6,1877129
00647L,元大S&P500正2,114.1,114.6,114.1,114.6,112.89999999999999,20772
00648R,元大S&P500反1,4.42,4.42,4.41,4.42,4.4399999999999995,886100
00650L,復華香港正2,17.52,17.68,17.46,17.68,17.29,6769253
00651R,復華香港反1,5.33,5.34,5.32,5.32,5.390000000000001,550000
00652,富邦印度,37.1,37.36,37.1,37.31,37.1,135844
00653L,富邦印度正2,57.75,58.1,57.65,58.05,57.599999999999994,89470
00654R,富邦印度反1,6.27,6.27,6.25,6.25,6.29,9590
00655L,國泰中國A50正2,34.24,34.65,34.03,34.3,34.14,1738620
00656R,國泰中國A50反1,6.14,6.15,6.1,6.13,6.16,86100
00657,國泰日經225,58.2,58.55,58.2,58.35,57.800000000000004,397949
00657K,國泰日經225+U,18.51,18.51,18.51,18.51,18.310000000000002,200
00660,元大歐洲50,41.66,41.66,41.56,41.59,41.34,23184
00661,元大日經225,63.5,64.0,63.5,63.85,63.2,164112
00662,富邦NASDAQ,101.55,101.8,101.2,101.65,100.4,1111115
00663L,國泰臺灣加權正2,43.63,44.1,43.6,43.91,43.0,8123207
00664R,國泰臺灣加權反1,2.77,2.78,2.76,2.76,2.8,7593185
00665L,富邦恒生國企正2,10.64,10.76,10.64,10.76,10.54,18664939
00666R,富邦恒生國企反1,8.95,8.96,8.9,8.9,8.99,77031
00668,國泰美國道瓊,55.15,55.2,55.1,55.15,55.1,132460
00668K,國泰美國道瓊+U,17.5,17.5,17.5,17.5,17.49,200
00669R,國泰美國道瓊反1,5.75,5.75,5.73,5.75,5.76,533201
00670L,富邦NASDAQ正2,158.3,159.25,158.05,159.1,155.2,726512
00671R,富邦NASDAQ反1,2.9,2.9,2.88,2.89,2.92,3918440
00673R,期元大S&P原油反1,29.35,29.44,29.33,29.39,29.19,769282
00674R,期元大S&P黃金反1,5.9,5.92,5.88,5.91,5.890000000000001,1062832
00675L,富邦臺灣加權正2,132.55,134.1,132.55,133.55,130.70000000000002,2592811
00676R,富邦臺灣加權反1,9.43,9.43,9.38,9.41,9.49,1895942
00678,群益那斯達克生技,34.11,34.2,34.11,34.2,34.39,363306
00680L,元大美債20正2,7.3,7.3,7.26,7.26,7.279999999999999,12096490
00681R,元大美債20反1,20.79,20.79,20.78,20.78,20.78,7000
00682U,期元大美元指數,20.22,20.22,20.22,20.22,20.22,2000
00683L,期元大美元指正2,20.78,20.78,20.78,20.78,20.78,56000
00684R,期元大美元指反1,15.68,15.68,15.59,15.62,15.68,107000
00685L,群益臺灣加權正2,119.0,120.35,118.95,119.85,117.19999999999999,729603
00686R,群益臺灣加權反1,1.68,1.69,1.67,1.68,1.7,2044301
00688L,國泰20年美債正2,7.28,7.28,7.24,7.24,7.25,3535569
00689R,國泰20年美債反1,21.64,21.64,21.64,21.64,21.650000000000002,10000
00690,兆豐藍籌30,42.77,43.08,42.77,42.93,42.55,952102
00692,富邦公司治理,55.0,55.25,54.9,55.0,54.6,462307
00693U,期街口S&P黃豆,20.28,20.29,20.18,20.18,20.36,2370996
00700,富邦恒生國企,18.12,18.22,18.12,18.22,18.009999999999998,1600430
00701,國泰股利精選30,28.95,29.29,28.95,29.25,28.98,2059911
00702,國泰標普低波高息,23.35,23.36,23.32,23.36,23.37,17189
00703,台新MSCI中國,21.55,21.62,21.53,21.6,21.400000000000002,52291
00706L,期元大S&P日圓正2,20.88,20.88,20.71,20.76,20.87,5279648
00707R,期元大S&P日圓反1,31.06,31.06,31.06,31.06,31.06,1000
00708L,期元大S&P黃金正2,91.05,91.15,90.35,90.8,91.55,2411154
00709,富邦歐洲,36.23,36.47,36.23,36.45,36.18,97388
00710B,復華彭博非投等債,19.02,19.05,18.99,18.99,19.04,247639
00711B,復華彭博新興債,16.37,16.37,16.35,16.35,16.35,101280
00712,復華富時不動產,9.13,9.15,9.13,9.14,9.110000000000001,10725902
00713,元大台灣高息低波,50.35,50.9,50.25,50.85,50.85,8877433
00714,群益道瓊美國地產,19.95,19.95,19.93,19.93,20.07,232712
00715L,期街口布蘭特正2,18.72,18.76,18.63,18.69,18.92,19184282
00717,富邦美國特別股,15.06,15.11,15.06,15.09,15.06,133514
00728,第一金工業30,35.69,35.76,35.69,35.72,35.33,46457
00730,富邦臺灣優質高息,23.17,23.47,23.17,23.47,23.119999999999997,270455
00731,復華富時高息低波,68.55,69.5,68.55,69.45,68.95,811327
00733,富邦臺灣中小,45.15,45.45,45.15,45.38,45.09,582951
00735,國泰臺韓科技,48.61,48.85,48.61,48.75,48.22,169262
00736,國泰新興市場,27.48,27.49,27.48,27.49,27.369999999999997,102891
00737,國泰AI機器人,35.44,35.44,35.3,35.41,35.209999999999994,35453
00738U,期元大道瓊白銀,53.9,54.05,53.2,53.8,55.0,10850254
00739,元大MSCI A股,25.96,26.09,25.91,25.99,25.97,49790
00752,中信中國50,25.9,26.14,25.9,26.14,25.86,2281747
00753L,中信中國50正2,12.15,12.28,12.11,12.28,12.01,13518477
00757,統一FANG+,117.5,117.75,117.1,117.6,116.55,1559130
00762,元大全球AI,82.5,82.5,81.6,82.0,80.85,142236
00763U,期街口道瓊銅,29.81,30.1,29.75,30.1,29.73,1364188
00770,國泰北美科技,56.9,57.1,56.7,57.0,56.25,401045
00771,元大US高息特別股,16.1,16.11,16.1,16.1,16.09,19968
00775B,新光投等債15+,32.78,32.78,32.73,32.73,32.8,2000
00783,富邦中証500,24.52,24.7,24.52,24.7,24.61,85997
